lat,lon,lang
37.6675097,-1.6945965,es
42.09872177,-84.20628244,und
38.3916554,27.0052645,tr
45.8696873,-122.5256021,en
-22.3931051,-47.5945229,pt
43.6583195,-79.38060887,en
3.0681024,101.4989711,id
41.00022388,-80.35504705,en
53.75887193,-1.63190279,en
13.72260431,100.77271442,th
42.25193368,-83.622199,en
35.75388918,139.82579304,ja
37.6063831,127.0342109,ko
33.1237858,131.6832527,ja
29.9597703,31.2915181,und
40.0863646,-3.8768292,es
37.16208373,-3.59983339,es
24.7592177,46.6857089,ar
33.9848969,-118.2222671,en
37.88746563,32.4968805,tr
-16.6945119,-49.2808782,pt
41.953383,-87.7378984,en
37.23387769,-121.9645717,en
33.11620772,-87.57073283,en
47.26919678,39.74640095,ru
34.20142264,-80.67646443,en
42.7734022,-72.3831236,en
37.6858685,-97.3348509,en
34.22617794,-77.87098501,en
8.7745146,-75.8657361,es
33.01574001,-97.7374075,en
1.51835499,110.36255656,en
35.10759172,136.99509533,ja
55.90795004,-4.40386609,en
33.44844697,-88.81678002,en
37.99283138,-84.17705297,en
37.7910368,126.9918086,ko
-5.17136,119.42023,id
-19.50951809,-42.62625919,pt
-7.9213438,112.5944129,id
-7.9558416,112.61096,id
-40.8022075,-65.0874501,es
38.11640853,-85.76403322,en
8.8812043,-79.7824019,es
-25.3640756,-54.6510338,es
40.2092505,28.982685,tr
39.6579993,27.8988253,tr
40.02947719,-74.85749044,und
37.32896591,-121.85510533,und
49.0447787,2.4740482,fr
-18.54888038,-40.97961182,pt
41.37669451,-71.82115849,en
18.3030658,42.7445333,ar
-22.6605929,-43.0396262,pt
40.07063848,-85.70386474,en
40.07063848,-85.70386474,en
40.0373522,-6.0854314,es
-22.8298546,-43.0410325,pt
32.71161071,-117.1599774,en
-34.6574236,-58.7191719,es
10.91671395,-74.79814421,es
0,0,id
-0.03381056,109.30712833,id
-23.4773952,-46.6476329,pt
41.02504673,29.01022653,tr
41.1181917,-85.107479,en
-23.28605041,-45.94771015,pt
39.19635321,-78.12757629,en
43.4401054,-80.5231756,et
-22.7553471,-41.8872818,pt
-34.8226449,-58.3645252,es
35.2206873,-80.7278299,en
3.56458,98.66218,en
59.93015317,10.74334908,no
12.9734876,79.1597315,en
18.4826413,-69.8302178,es
33.9575619,-83.3767384,en
52.37861197,4.90054607,nl
19.5049831,-70.7395559,es
20.0423839,41.4432015,ar
52.26842459,0.29720301,en
32.9465633,-97.0944004,en
22.76550604,-102.54004596,es
3.1065201,101.7506822,en
19.4526693,-99.2034239,es
28.23425215,-97.32216397,en
46.1087937,13.2100083,it
-35.1156226,-60.4598516,es
37.4731467,-1.7285287,es
31.07365225,-97.65565641,und
3.01636685,101.67903555,id
-41.0480526,-62.8307759,es
14.2762872,120.872744,sv
28.4580515,45.976831,ar
-25.2640404,-57.4898473,es
6.2360767,100.4280629,id
-34.5482569,-58.4377755,es
42.36168817,-71.08005984,und
41.48117767,-72.75204194,en
16.8729008,96.1307309,en
10.3269622,-75.4127967,es
48.8985193,2.4897225,fr
40.0396488,-75.1696656,en
-29.7728924,-51.1178528,pt
13.84168577,100.59340214,th
53.43993182,-2.09769428,en
-6.24287753,106.92595341,sl
51.4091986,-1.2547117,en
38.5610255,-6.3301675,es
1.845224,103.2810593,en
-34.6325264,-58.3876774,und
2.9270166,-75.2916524,es
-8.714706,115.2208079,en
29.54474972,-98.55661119,es
-3.7701615,-38.5146068,pt
14.65386709,121.08540676,en
41.012469,28.6437286,tr
40.61320995,-74.08380757,en
54.52580622,-1.34999217,en
40.75750428,-124.16220473,en
26.2733709,50.6457168,ar
